6606;ZW People;;;;;8-977-680-66-07;info@zw-people.com;;0;Кошлакова Виктория;Розничная точка;info@zw-people.com;8-977-680-66-07
6468;ИД "Имидж-Медиа";;;;;;;;0;;;event@image-media.ru;(831)280-95-40
6832;ТК Мейджик Транс;;;;;;;;0;;;;
3071;"1 АБ Центр Павелецкая";ООО;7725645601;1 АБ Центр Павелецкая;Москва ул.пер Хохловский , д.15;937 66 35;order@1ab.ru;;0;Румянцева А.В.;Продажи Конечник;order@1ab.ru;8-495-994-72-77, 937 66 35
2379;"1 Московская Зеркальная Фабрика";ООО;;1 Московская Зеркальная фабрик;;;;;;;;;
4682;"1 ОФПС по Московской области";ФГКУ;;;;;;;0;;Продажи Конечник;;
3175;"1+1";ООО;7701704689;1+1;Москва ул.Казакова, д.29 стр 1;7 962 935 07 57;vita@oneplusone.ru;;0;Румянцева А.В.;Продажи рекламщик;vita@oneplusone.ru;7 962 935 07 57, 8-495-978-09-71, natalia@oneplusone.ru
2551;"100%";ООО;6318178413;100%;Самара ул.Заводское шоссе, д.11;(846) 2790775;;;0;Двойрис М.Ю.;Продажи Конечник;;(846) 2790775
1393;"100-медиа";ООО;7713307647;Алфавит (100-медиа);г.Москва Бeскудниковский б-р, 57, корп.1;;;;;;;;
419;"1001 Сувенир";ООО;7715542420;1001 сувенир;г.Москва ул.Образцова, 14/2;;;;;;Продажи рекламщик;;
4157;"101 флаг";;;;;;;;0;;;;
2655;"2 ангелочка";ООО;7743679868;2 ангелочка;125190 г. Москва ул.Ленинградский проспект, д.80, корп."Д", оф. 410;+7 499 158-75-81;info@2angels.ru;;0;Румянцева А.В.;Продажи рекламщик;info@2angels.ru, verklova@yandex.ru;+7 495 542-13-13, +7 499 158-75-81, 8-499-158-75-81
952;"2+5";ООО;7721162360;2+5;г.Москва ул.Яузская, 5;956 20 05;;;;Двойрис М.Ю.;Продажи рекламщик;;956 20 05, ivv@2plus5.ru
3973;"21 ВЕК";СПбОО;7842012923;21 ВЕК;191036, г Санкт-Петербург, Лиговский проспект д. 29 литер А помещение 12 Н;8 812 947 27 57;reklama@inbox.ru;;0;Румянцева А.В.;;reklama@inbox.ru;8 812 947 27 57, 8-905-215-53-29
668;"23а";ООО;7743542990;23а-студио;г.Москва ул.Валдайский пр-д, 8;;;;;Двойрис М.Ю.;Продажи рекламщик;03reklama@mail.ru;
4654;"2А";ООО;;;196158, г. Санкт-Петербург, ш. Пулковское, д. 40, корп. 4, литера А БЦ «Технополис», Сектор Д, 2 этаж;(921)9775412, +7(812)383-53-62 доб. 122;ma@amamed.ru, roev@2a-russia.com;;0;;;ma@amamed.ru, roev@2a-russia.com;(921)9775412, +7(812)383-53-62 доб. 122, Mob. tel: +7(921) 18 403 18
5960;"2Е";ООО;6679093207;;620024 г. Екатеринбург ул. Колхозников, д. 59 оф. 8-А;(343) 216-29-79 (80, 81);la_viki@mail.ru;;0;Двойрис М.Ю.;Продажи рекламщик;la_viki@mail.ru;(343) 216-29-79 (80, 81), 8-953-603-61-23
4018;"32 мая";ООО;7814320154;32 мая;197374, Санкт-Петербург, Приморский пр, 46 лит 3;(911) 160 92 92;32-may@mail.ru;;0;Румянцева А.В.;;32-may@mail.ru;(911) 160 92 92
3062;"3Д ФОЛИО";ООО;7722657373;3Д ФОЛИО;111116 г Москва, ул.Энергетическая, д.7 стр 168;(495) 139-09-61;info@3dfolio.ru;НЕ РАБОТАЕМ С НИМИ ПО ПОЛИТИЧЕСКИМ МОТИВАМ И ИДЕЙНЫМ СООБРАЖЕНИЯМ!!!!!!!;0;;;info@3dfolio.ru;(495) 139-09-61
5224;"4F Development";ТОО;160240019613;;Казахстан, 010000, г. Астана, ул. Желтоксан 2/1, 61;+ 7 701 999 20 30;n@4fs.kz;;0;Двойрис М.Ю.;Продажи Агентство;n@4fs.kz;+ 7 701 999 20 30, + 7 7172 76 85 75, + 7 701 999 20 30
4834;"4Д фолио";Общество с о;7722832233;;111020, Москва, ул. 2-я Синичкина, дом 4 корп 3;+7-495-361-4021;;;0;;;;+7-495-361-4021
6290;"4Т дизайн";ООО;5044061000;;107023, город Москва, Барабанный переулок, дом 4, этаж 2, помещение X, комната 2.;988-73-87;kosha@4tdesign.ru;;0;Водопьянова Оксана;Продажи рекламщик;kosha@4tdesign.ru;7 925 500-88-19, 988-73-87
6498;"4ФРЭШ";ООО;7728475669;;г. Москва, ул. Бутлерова, д.17, эт.5, ком.284 офис 25;+7 (495) 955 90 75 доб. 562;;;0;;;vlobacheva@4fresh.ru;+7 (495) 955 90 75 доб. 562, +7 (920) 613-69-81
492;"5-я ВЫСОТА";ООО;7719205641;Пятая высота;г.Москва ул.Первомайская, 1/2;;;Пятая высота (акт);;Двойрис М.Ю.;Продажи рекламщик;;
3981;"7 Pen";;;;;;;;0;;;;
2614;"7 Steel";;;севен стил;;;;;0;;;;
2985;"A-group";ООО;6672210881;A-group;620026, г. Екатеринбург, ул.Тверитина,38/3;(343) 358 35 22, (343) 372 82 39;a-group3@a-gr.ru;;0;Двойрис М.Ю.;Продажи рекламщик;a-group3@a-gr.ru;(343) 358 35 22, (343) 372 82 39
4523;"Agreed";;;;;;;;0;;;;
4472;"B2B Гифтс";;;;;;;;0;;;;
4511;"B2B-gifts";;;;;;;;0;;;;
4542;"BCA";;;;;;;;0;;;;
5668;"Biznex";ТОО;600400644110;;г. Алматы, 050008, Алмалинский район, проспект Абая, 109В;+7 (727) 357-23-26;sales@expression.kz;;0;Кошлакова Виктория;Продажи рекламщик;sales@expression.kz;+7 (727) 357-23-26, 7 (727) 317-22-45
4489;"BONTON";;;;;;;;0;;;;
4552;"BrendМастер";;;;;;;;0;;;;
4666;"C2Б";ООО;7452060368;;454081, г. Челябинск, ул. Горького, д. 62;;;;0;;Продажи рекламщик;;
6044;"Creative Mates" (Креатив Мэйтс);ТОО;600700658023;;050059, Республика Казахстан, г. Алматы, пр.Сейфуллина 404/67, 3 этаж. офис 308;+7 (727) 279 96 01;taureklama@list.ru;;0;Кошлакова Виктория;Продажи Агентство;taureklama@list.ru;+7 (727) 279 96 01
3956;"De promo";;;De promo;;994124409906;stend@stend.az;;0;Кошлакова Виктория;Продажи Агентство;araz.mahmudov@gmail.com, stend@stend.az;(+99450) 6631767, 994 124 409 906, araz.mahmudov@gmail.com
3777;"DECOS GROUP";ЧП;;DECOS GROUP;;;;;0;Румянцева А.В.;Продажи Агентство;dekopoligraf@yandex.com;9-9871-129-00-66
5173;"DEKOS GROUP";ЧП;;;Узбекистан г.Ташкент, Мирабадский район,;(+99871) 129-00-66;anastasiya@dekos.uz;;0;Двойрис М.Ю.;Продажи Дилер;anastasiya@dekos.uz;(+99871) 129-00-66, (+99890) 345-85-00
2630;"INOTEC";;;Инотек;;;;;0;;;;
